municipality_code,state_code,year,total_hospitalizations,total_deaths,population,avg_wage_nominal,literacy_rate,pct_black_parda
210220,21,2008,1761,91,26029,594.5358789625383,76,0.8237950692233657
210230,21,2008,1354,92,22941,670.7932615384615,74.5,0.8224890829694324
210232,21,2008,3777,225,63466,663.7293529893537,78.6,0.7770931052454091
210237,21,2008,107,21,9116,411.624879518074,76.5,0.7943648632650645
210240,21,2008,288,21,10279,432.8137885462577,81.9,0.8576552765716443
210270,21,2008,1142,74,19396,657.2060423452771,75,0.8723164946941171
210275,21,2008,778,36,10683,591.4830038759684,72.9,0.7820357042714272
210280,21,2008,1655,119,25159,739.4719026104423,87.5,0.739482470784641
210290,21,2008,105,75,20905,671.1992422625382,86.1,0.8221929386104422
210300,21,2008,9542,665,147416,574.8314424435142,77.3,0.8103654999033069
210310,21,2008,395,31,10127,1077.3999999999999,88.9,0.825402990872014
210312,21,2008,427,21,9062,411.9861510791368,79.4,0.8924949290060852
210315,21,2008,384,16,7318,663.5528571428573,76.1,0.7766194493076556
210317,21,2008,600,31,15577,679.5016739446878,79.4,0.776371786869432
210330,21,2008,6979,498,113768,694.6940761938959,72.4,0.8574200052525013
210340,21,2008,3591,211,45343,876.2073302687417,73.9,0.8124318196402216
210350,21,2008,3195,144,36725,598.2207915831656,75.8,0.7700406306697672
210355,21,2008,353,26,14535,388.2615625000007,71.6,0.8011359700768858
210360,21,2008,4178,243,62442,569.2581469534032,71.8,0.7666461458704598
210390,21,2008,744,36,10704,812.8956542056077,71,0.8604694835680751
210405,21,2008,2455,119,27328,1104.3202554413647,87.6,0.7223462440004464
210408,21,2008,173,42,8404,491.9637640449458,66.2,0.525427396667388
210409,21,2008,234,49,17432,451.1195604395605,86.8,0.7360626196643766
210410,21,2008,370,33,11919,511.4103913894326,87.5,0.7385592856529578
210420,21,2008,754,88,14903,503.51744303797216,74.7,0.772104112855156
210440,21,2008,1053,33,16914,658.7623033707849,69.7,0.7326545787336269
210455,21,2008,784,61,14557,671.7260978260865,84.2,0.7666708605938601
210462,21,2008,528,35,7091,678.2313061224509,75.9,0.827200872172254
210465,21,2008,67,24,11666,643.1516666666666,70.8,0.8397081026673376
210467,21,2008,2864,87,24671,713.1358365758737,79.6,0.8355641288087552
210480,21,2008,4295,209,55833,623.6511870681128,81.7,0.6868296453763648
210500,21,2008,957,115,25037,713.0916076058759,83.9,0.853684612447499
210515,21,2008,458,45,12073,593.3980672268909,75.7,0.8068679786471198
210520,21,2008,739,53,11003,612.775590551181,75.6,0.7236913602608224
210530,21,2008,14113,1407,236311,758.2452712625658,90.4,0.6807794558515753
210540,21,2008,2557,294,56241,630.4781740481642,77.3,0.8369370964885448
210542,21,2008,1675,107,25866,683.9827689694226,81.2,0.7146476833976834
210545,21,2008,358,22,8557,509.8620503597147,76.5,0.7802275126070131
210547,21,2008,297,35,15270,414.1870034843203,70.4,0.5035295641473998
210550,21,2008,1427,88,20482,573.6304593929434,81.2,0.7287802963399077
210560,21,2008,1052,61,16054,665.1487763713078,72.7,0.7896203187767267
210590,21,2008,904,41,15014,760.5721529745053,72.3,0.7844027768766626
210594,21,2008,325,28,7993,459.84974522293,74.5,0.7262347658755612
210610,21,2008,543,33,10646,768.6858635394447,83.3,0.8298656834342902
210637,21,2008,337,31,12299,469.84862190812834,76.8,0.7448457272856533
210640,21,2008,1017,56,14252,452.7888757396477,76.5,0.8742657250346512
210650,21,2008,990,60,21037,495.6205720122576,84.5,0.8282006762313808
210663,21,2008,206,41,10944,417.2653333333344,70.3,0.8284885828198623
210700,21,2008,984,39,9055,566.0340092165903,84.3,0.6421287444231994
210710,21,2008,460,54,17620,472.6987793427248,76.6,0.8651034637876743
210730,21,2008,125,26,5041,488.16807228915854,77.5,0.7739054672184709
210735,21,2008,783,62,17646,776.6195000000002,77,0.8040762999738699
210750,21,2008,4415,346,101452,741.6616295336785,95.1,0.7482448964060806
210760,21,2008,1421,59,18646,419.7371815718184,77.4,0.8509459099387157
210800,21,2008,1138,82,18055,462.5856529517005,81.1,0.6817578038521143
210825,21,2008,390,33,22417,586.4018381112985,75.8,0.8870804557251573
210830,21,2008,1642,154,34505,600.0353756476653,82.6,0.8756565892377729
210840,21,2008,956,37,12556,587.7572850678756,81.3,0.6669805853375833
210850,21,2008,1321,153,31879,773.7095631825275,83.1,0.7805989792315347
210860,21,2008,4025,331,76391,728.9185495734106,85.4,0.7570589665186853
210870,21,2008,1266,68,22410,452.8895357142857,74.1,0.7392015260934732
210910,21,2008,2938,155,41173,801.540907127428,81.9,0.6912948224984351
210930,21,2008,460,31,10096,574.1540054495919,75.6,0.8650867699197612
210950,21,2008,1525,108,21626,569.6246759259255,83.5,0.7969816922315686
210955,21,2008,445,33,7391,624.8332915360509,82.3,0.7226397048777156
210970,21,2008,257,16,5971,804.2413827160493,83.8,0.8835641399416909
211003,21,2008,1899,65,20194,470.45709677418694,80.3,0.7587105321262972
211020,21,2008,1217,102,31940,521.0245211267608,80.9,0.7944820341706058
211027,21,2008,443,36,11509,431.9068578553637,83.8,0.7969032631502786
211040,21,2008,573,69,17704,421.0938858695652,74.1,0.8036516853932584
211050,21,2008,1623,97,38645,552.8914637305675,82.8,0.8118663622750816
211060,21,2008,1262,98,26273,470.4140615690168,78,0.872417569966386
211065,21,2008,110,31,7168,613.3242758620695,75.4,0.7302405498281787
211080,21,2008,330,15,4511,513.8666145833337,76.8,0.7410163725281735
211085,21,2008,490,39,8702,832.9055874673627,78.8,0.7652504385110115
211100,21,2008,1509,65,18617,1442.589375,82,0.7386175392801566
211105,21,2008,586,28,11611,571.5150549450551,84.2,0.6725843735552474
211110,21,2008,1408,136,24267,625.1514891913529,81.5,0.6877933330659072
211125,21,2008,682,25,7490,595.2196791443861,72.4,0.7964519140989729
211130,21,2008,55425,4807,986825,1349.2054100623664,95.7,0.696178109215461
211150,21,2008,1693,203,39210,500.61723948811414,72.4,0.7840589348749168
211153,21,2008,559,47,11439,638.1911052631583,76.3,0.8024773464128356
211163,21,2008,179,23,4590,423.29388349514784,72.4,0.7855852897717944
211172,21,2008,523,32,8651,541.2727480916036,76.3,0.77774997915103
211174,21,2008,615,37,9343,489.0398194945852,71.1,0.834357024471093
211178,21,2008,223,21,10911,558.8860000000001,74.2,0.9333698930627914
211195,21,2008,212,17,4818,576.332843137255,74.1,0.8149111400086693
211220,21,2008,11093,827,148804,740.9700511649295,84.5,0.8223734570085102
211230,21,2008,2495,146,39041,463.9953090332789,77.4,0.6996733360555328
211245,21,2008,433,29,20758,603.5461842105257,74.9,0.7859237536656891
211260,21,2008,1010,51,22459,609.5717763157894,75.4,0.8352323594042484
211280,21,2008,2326,207,48907,603.4494894894896,85.5,0.773238782148413
211285,21,2008,469,31,8961,702.629537444934,76.7,0.7595701216804335
211290,21,2008,799,144,31851,495.3115848007417,80,0.721602921391505
211300,21,2008,1859,125,31107,530.319380097879,72.3,0.7754508986386178
